# kQSO callsign DB | set=vkv | version=1 | updated=2026-09-24
DO1UKA	JO71FE	20260921	1
S51AT	JN75GW	20260921	1
M0ABT	JO00AS	20260921	1
SP2QVH	JO83XC	20260921	1
DO1CS	JO60PO	20260921	1
OK2KGB	JN79QJ	20260921	1
F4FAA	JN24LP	20260921	1
IV3EXL	JN65VP	20260921	1
TM9A	JN39OC	20260921	1
F5MFI	JN07XT	20260921	1
DH7FFE	JO40FC	20260921	1
DK1FG	JN59OP	20260921	1
F4FAQ	JN13OG	20260921	1
TK4RB	JN42SJ	20260921	1
2E0VPX	IO92UX	20260921	1
F1AZJ	JN28OK	20260921	1
OK2VWX	JN89PV	20260921	1
DK1FY	JO52HK	20260921	1
F1MKC/P	JN05VS	20260921	1
OK1DCI	JO70EB	20260921	1
DL1RTL	JO61NX	20260921	1
HB9PZQ	JN37XK	20260921	1
I3MEK	JN55SJ	20260921	1
CT2HKN	IN51OM	20260921	1
HB9LB	JN37TL	20260921	1
CT9ABN	IM12JU	20260921	1
DL8LR	JN39PN	20260921	1
F5AYE	JN35BS	20260921	1
IU5SET	JN53KW	20260921	1
IK0BZY	JN61GW	20260921	1
G6IPU/P	JO02QV	20260921	1
S51DI	JN76VL	20260921	1
DG7AC	JO52AJ	20260921	1
F4EEJ/P	IN95VO	20260921	1
OK5WA	JN89AO	20260921	1
DK1HE	JN47KR	20260921	1
DL2HSX	JO50VX	20260921	1
DN5PW	JO50DO	20260921	1
F0FEK	JO00TE	20260921	1
YO5OHB	KN17LQ	20260921	1
9A5RJ	JN86EL	20260921	1
SF6F	JO67QS	20260921	1
LA0GE	JO59KF	20260921	1
PA3EKM	JO33GE	20260921	1
G6DDN	IO93BS	20260921	1
DG6JF/P	JO33QN	20260921	1
SP2WPY	JO94FL	20260921	1
IZ3OHR	JN55LJ	20260921	1
DL1AOB	JO50KV	20260921	1
F4FCW	JN38FO	20260921	1
IZ3IQJ	JN55SR	20260921	1
YO5OHO	KN16VN	20260921	1
M5MC/P	JO02UJ	20260921	1
YT4ZZ	KR04CN	20260921	1
9A1PKC	JN85OK	20260921	1
IK3XJP	JN55UC	20260921	1
YO5OHY	KN17SP	20260921	1
EA5GJ	IN90LB	20260921	1
F1MKG	JN08KQ	20260921	1
G4RQI	IO93IR	20260921	1
DL3JAN	JO61UB	20260921	1
S50C	JN76JG	20260921	1
OK1DEN	JO70NP	20260921	1
OK2KJT	JN99AJ	20260921	1
OL0M	JN89ER	20260921	1
OK2KJU	JN89SJ	20260921	1
S50G	JN76JC	20260921	1
DK1IJ	JO43HA	20260921	1
HB9NE	JN37JC	20260921	1
DL8NP	JN58SC	20260921	1
S50K	JN66XB	20260921	1
S50L	JN75ES	20260921	1
OK4NEO	JN78XW	20260921	1
DL8NU	JN48ST	20260921	1
OK1DEZ	JN89IX	20260921	1
YO3FWL	KN24XL	20260921	1
F1GTU	JN05IE	20260921	1
S50W	JN76WK	20260921	1
DK7AC	JO52GF	20260921	1
G4RRA	IO80BS	20260921	1
DC7EF	JO62PO	20260921	1
OL1B	JO80IB	20260921	1
LZ1JH	KN12PQ	20260921	1
OL1C	JO60UQ	20260921	1
DB4SNK	JO40CH	20260921	1
SP2WRH	JO94FK	20260921	1
DL8OH	JO33WP	20260921	1
DL1RWO	JO60RS	20260921	1
DG5BRE	JO62VM	20260921	1
OL1R	JO70LR	20260921	1
DK7AW	JO51ET	20260921	1
UA3IDQ	KO66JF	20260921	1
HA8AR	KN06MQ	20260921	1
DB5YB	JO42IE	20260921	1
F4FET	JN39OC	20260921	1
ON4IY	JO20HT	20260921	1
IW3FZQ	JN55VB	20260921	1
OL1Z	JN88AU	20260921	1
S51S	JN75ES	20260921	1
ON4KHG	JO10XO	20260921	1
OK2KLF	JN89SN	20260921	1
G4ALE	IO90QV	20260921	1
DL8PA	JO40LB	20260921	1
DL5AOL	JO50KU	20260921	1
YO9HP	KN35BA	20260921	1
SQ6QV	JO80JG	20260921	1
DK1KC	JN58QH	20260921	1
OL2J	JN79TI	20260921	1
F6CIS	IN94WL	20260921	1
OK2KLS	JN89PR	20260921	1
DG1MH	JN59LM	20260921	1
G8LZE	IO91SO	20260921	1
OK1DGR	JO60XE	20260921	1
DK1KW	JN58RE	20260921	1
S52W	JN75ON	20260921	1
YO7FWS	KN24DJ	20260921	1
GM4FVM	IO85WU	20260921	1
