# kQSO callsign DB | set=awards | version=1 | updated=2026-09-24
IU8CNE			1
IV3HEH			1
IV3NGF			1
IW2BNA			1
IW3AGO			1
IX1IHR			1
IZ2IHO			1
JA1VRY			1
JA1VVH			1
JA3GOJ			1
JA3NAP			1
JA4RQO			1
JA5IVG			1
JA5QJX			1
JA9KRO			1
JA9OJM			1
JE1GER			1
JE1LHW			1
JF1NDT			1
JF7RJM			1
JG0AWE			1
JG1JJL			1
JG1RBB			1
JG1WKM			1
JH0WYT			1
JH1MXV			1
JH4EJK			1
JI1IZS			1
JI1TAC			1
JJ1IZY			1
JJ1PFC			1
JJ2CJB			1
JK1JLX			1
JK1MGC			1
JK1VUZ			1
JK1WVC			1
JL1CGT			1
JM1LFV			1
JM1OZP			1
JM3AVI			1
JN1LGH			1
JN3FMD			1
JO2BWZ			1
JO2NZH			1
JP1XRI			1
JP2XYT			1
JQ1GLJ			1
JQ3AJX			1
JQ3KWM			1
JR3XEX			1
JR5JAQ			1
JR9SLB			1
JS1IFK			1
JS2TNW			1
K0FD			1
K0OE			1
K0OTC			1
K1BZ			1
K1CL			1
K1CT			1
K1DLA			1
K1LB			1
K1RAH			1
K1RDD			1
K1TDM			1
K1WAT			1
K2BRO			1
K2CAF			1
K2JB			1
K2JVB			1
K2PS			1
K2UPD			1
K3ATA			1
K3BAL			1
K3IGA			1
K3IV			1
K3ONW			1
K3SDM			1
K3TCU			1
K3VAT			1
K4ACJ			1
K4ADS			1
K4ARQ			1
K4CAE			1
K4CGY			1
K4DT			1
K4GDJ			1
K4GYU			1
K4ISU			1
K4KGT			1
K4LI			1
K4LLL			1
K4OTT			1
K4QS			1
K4SP			1
K4VBL			1
K4XP			1
K5DEZ			1
K5EM			1
K5OGR			1
K5OHY			1
K5SVC			1
K5UHF			1
K5WOW			1
K6CPR			1
K6EL			1
K6HPX			1
K6KMH			1
K6MII			1
K6YK			1
K7EDM			1
K7GT			1
K7GUD			1
K7SEN			1
K7SO			1
K8ACC			1
K8BSR			1
K8CIR			1
K8CSC			1
K8IKO			1
K8LF			1
K8NEE			1
K8NIV			1
K8RDG			1
K8WAG			1
K9DEG			1
K9DLO			1
K9ICP			1
K9IS			1
K9OB			1
K9OZ			1
K9PM			1
K9TQ			1
KA1VRY			1
KA3MAJ			1
KA5YIX			1
KA6NEI			1
KA6NPD			1
KA8GIM			1
KA9GWM			1
KB0PAT			1
KB2FA			1
KB2TDT			1
KB3AAY			1
KB3UJT			1
KB5SAV			1
KB6DAD			1
KB7HH			1
KC1GGP			1
KC1MXB			1
KC1NDQ			1
KC1VIO			1
KC2HMD			1
KC3RT			1
KC4ZUA			1
KC5F			1
KC5MJE			1
KC6JQU			1
KC6SEH			1
KC8IQ			1
KC8YOM			1
KC8ZKS			1
KC9DDF			1
KD0M			1
KD2VRL			1
KD2YIO			1
KD2ZZA			1
KD4CXE			1
KD5EDL			1
KD7J			1
KD7QAS			1
KD8EQA			1
KD8IE			1
KD8MIV			1
KD9K			1
KD9KJC			1
KD9RPE			1
KD9RZG			1
KD9WI			1
KE0DS			1
KE0IBA			1
KE0N			1
KE0QEQ			1
KE1J			1
KE2DC			1
KE2DOS			1
KE2ET			1
KE4PTP			1
KE4QCY			1
KE4ZUN			1
KE5YYC			1
KE6SRN			1
KE6SU			1
KE6TH			1
KE7F			1
KE8PZN			1
KE8SUG			1
KE8WKS			1
KE9BV			1
KF0MYC			1
KF0RIG			1
KF0SWQ			1
KF4PGW			1
KF4SNJ			1
KF6HI			1
KF7JQV			1
KF7WI			1
KF8CYL			1
KF8FCC			1
KF9D			1
KF9R			1
KF9UP			1
KG0AT			1
KG1A			1
KG2CV			1
KG2MM			1
KG4R			1
KG5LRB			1
KG9JP			1
KH2TJ			1
KI4YZN			1
KI5PPY			1
KI6EAB			1
KI8H			1
KJ4KHM			1
KJ5CHK			1
KJ5DZV			1
KJ5JR			1
KJ5LMM			1
KJ5W			1
KJ7RPL			1
KJ7WLL			1
KJ8MRH			1
KK2B			1
KK4DF			1
KK4DUP			1
KK4OMJ			1
KK6MT			1
KK6WT			1
KK7ER			1
KK7EW			1
KK7ULL			1
KK7WYG			1
KM4IY			1
KM4QNA			1
KM5RF			1
KN1R			1
KN4DY			1
KN4NGK			1
KN4RNO			1
KN4SWS			1
KN4XP			1
KN4ZVJ			1
KN6KI			1
KN6OMN			1
KO4FX			1
KO4SB			1
KO4SXH			1
KO4YZE			1
KQ4AWF			1
KQ4IAM			1
KQ4NT			1
KQ4OQU			1
KQ4PAK			1
KQ4RME			1
KQ4TAX			1
KR4FJL			1
KR7Q			1
KR8P			1
KR9K			1
KS4S			1
KS5L			1
KT0A			1
KT0P			1
KT4ZG			1
KT5X			1
KW4FM			1
KX0R			1
KX0Y			1
KX4YQ			1
KY4EJ			1
KZ4KC			1
LA1ENA			1
LA1XFA			1
LA5FHA			1
LY1SR			1
LY5G			1
LZ4GL			1
LZ4UX			1
M0BKV			1
M0DLL			1
M0MDA			1
M0OMC			1
M0RJP			1
M0UFX			1
M1AOB/M			1
M1GEO			1
M6EAM			1
M8BIA			1
M9OUD			1
MW0BYS			1
MW9WJS			1
N0DNF			1
N0IPA			1
N0OZZ			1
N0RZ			1
N0WAE			1
N1CLC			1
N1ECT			1
N1MHV			1
N1NPQ			1
N1PHR			1
N1PRR			1
N1SMB			1
N1XV			1
N1XXU			1
N1ZF			1
